prod_xprod,rotulo_cliente,rotulo_ia
"VACA PARA ABATE - 7,067.000",1,1
PINTINHO,1,1
PINTINHO,1,1
VACA P/ABATE - 21.00,1,1
"GADO EQUINO VIVO - FEMEA QUARTO DE MILHA, NOME: CAPITAL NCONF SAN, REGISTRO: P086207",1,1
FEMEA PARA ABATE 24 A 36 M - 237.570,1,1
1 MINI OSCAR PINTO EROTICO DOURADO / DESPEDIDA DE SOLTEIRA,1,95
VACA P/ABATE - 51.00,1,1
"SEMPRE RAIA UM NOVO DIA RAIA &AMP HERMANN, CLAUDIA &A",1,49
PINTINHO SKV0015,1,1
PINTINHO QUIQUIRIQUI,1,1
O PINTINHO ADOTIVO,1,1
VACA PARA ABATE - 158.800,1,1
PA150042 KIT DIA A DIA C/3 ITENS CEREJA,1,33
BOVINO F PARA ABATE +36M ( 41 VOL),1,1
PINTINHO AMARELINHO,1,1
BIOGELIS VOLUMAX,10,30
"FOLHA DE ARROZ QUADRADA GW 300G CX 36UN;BC ICMS ST: 86,73 ICMS ST: 4,59",10,19
FIBRA TRIGO W-75,10,10
VIKING 7KG,10,
SUPLEMENTO MINERAL - (25KG),10,23
B+ RG O CV VIES RIB R1217 G BRANCO,10,60
PANAQUE AMBRUSTERI L027,10,3
POLYBLEM MILHO PLANT NO-TOP 32-11-00 (PARCIAL) (BG 1000 KG),10,31
SS M 6410 TRAT C/ SK (CAMISC) (SC),10,84
TUPCX PB ARROZ 2KG +FEIJ+SAL G,10,21
PLATAF. MILHO MAESTRA 13X45,10,84
FECHAMENTO MILHO MF34,10,73
FIBRA DE TRIGO FINA KG,10,10
PENDAO MILHO ROSA,10,10
CATTLEYAS DIVERSAS COD. A,10,6
SAIDA MATERNIDADE TRICOT PONTO ARROZ VERMELHO 02 PECAS,10,61
KIT ESSENCIAIS CERVEJEIRO - COMBO CEVADA,10,10
PLATAF DE MILHO 6 LINHA JJC0240407,10,84
MATUTO INSULINIUM 90G,10,30
MILHO 3D FESTA JUNINA 35CM,10,95
PAPEL ARROZ,10,48
STE ODILE INSTAGRAM - HOCANM12857745,10,
MILHO COM CORDA 1 UNID,10,95
T10559 EM SINTETICO MRK INDIGO/NESCAU/NB QUINOA,10,64
POINSENTIA 28CM - FL2389,10,6
PC CHIPART TIO BLACK CHP0120,10,84
CARVAO CAPAO BONITO 6K,10,27
FLOR C/PETA PON,10,6
KIT 4 TELAS MILHETO,10,73
PAPEL ARROZ 3 KG,10,19
AMARANTO 33,10,10
FEIJO CARIOCA GUACIRA 1KG,10,7
AMOSTRA HUMIDICOLA,10,10
DIE FOR YOU - EXPERIMENTAL TAMANHO::G,10,49
MILHO DE BISCUIT MINIATURA 10 UNIDADES - APLIQUE FESTA JUNINA BISCUIT,10,96
KIT MILHO VSET,10,84
PLACA 20A12 VIP3,10,85
"LATA GRAOS, PR100",10,73
231.AC.41002  231155004  PONCHO,10,61
LAVANYA ROSEMARY CX0.5KG,10,12
BRIQFENO,10,
GNB POP UP ROMA COMPOTAS,10,20
B2620 (SCE2620) SNZ ROLT 1,10,84
BOCA MILHO REX,10,84
SUPLEMENTO MINERAL BELLPESO SVSC,10,23
CATTLEYAS DIVERSAS COD. D,10,6
EMBALAGEM ARROZ GUACIRA 1KG T1 PARBOILIZADO,10,10
DESCARTE DE CASCA DE ARROZ,10,10
ESCORRED ARROZ INX 14865 YAZI,10,73
FLOR DE TRIGO,10,10
PAPEL ARROZ CARROS,10,19
BALD MADU PIPOCA VERDE B 01UN,10,20
REPLICA MILHO 3M,10,39
LOTE CORSINI - FAZENDA SILVA W2 - PCT 250G - GRAOS,10,9
VAXXON SHS L 2000 DS,10,0
ALMOFADA POPCORN PIPOCA,10,94
SACO DE MILHO 40 KG,10,10
FAZENDA SITIO SOALHEIRO - ED. OUTUBRO/2022 QUANTIDADE:250G;GRAO OU MOIDO?:GRAO,10,9
MACO ROBUSTO GRAND AMAZONIA,10,
JACARANDA MIMOSO,11,44
DESCON C12 COMP,11,
LAMINA AVEIA FIBRA GERMEN FARINHAS OC: MT84119110843,11,11
2KG FARINHA DE AMENDOA + 1KG XILITOL,11,29
PANTANAL 500G,11,11
DESINFESTADOR PARA FARINHA TP MOD DFI,11,84
MIST LAV MC PURE RB8906 BA DOURADO/BRANCO= RUBINETTOS(M0STRUARIO) RUBINETTOS,11,84
"PRODUTOS NAO LISTADOS - PELICULA, SABUGO E QUIRERA DE MILHO",11,11
FARINHA DE SANGUE - 831.0000,11,23
BOB PLAST FARINHA DE MILHO DONANA 500G,11,11
PE MLQ YOKI 306 G,11,11
FIBRA DE TRIGO K LIFE 250G,11,11
CANOINHA T9430-259 / NAPA SINGAPURA AVEIA / NAPA SINGAPURA AVEIA / NAPA SINGAPURA AVEIA / _ LIGHT PEACH / _ OURO / FORRO,11,64
FARINHA DE AMORA KG 1178 FAZENDA SAO FRANCISCO KG,11,11
FIBRA TRIGO KININO 250G KININO UN,11,11
POLVILHO AZEDO AMAFIL 500G,11,11
FIBRA DE TRIGO ZAELI 10X300 FD,11,11
WAXY MAIZE - PACOTE 1KG - GROWTH SUPPLEMENTS SABOR:NATURAL,11,11
SACOS DE PAPEL KRAFT FECULA DE MANDIOCA ARGO FOODS SC 25 KG,11,48
VIDROLUX BB5 LTS GIRASSOL,12,12
"CATUABA PRETA APARELHADA ATE 1,90 MTS P/ PALETES",12,44
ESS MORANGO 057 50ML,12,33
ENTRADA DE CANA DIA 06 07 2024,12,12
TOCA CASA HAMISTER ANAO RUSSO ROEDORES PEQUENO PORTE,12,39
BALILA / BALILA / LINHACA - 26,12,12
CAPIM COM SEMENTE - UN 1,12,12
FOX / 7152360/ QAM 1252 / 9BWAB45Z2K4009460/ CAMPO GRANDE,12,
IPE ROSA,12,44
"CYTOBIOL IRIS A 2 (0,100)",12,30
PHILLIPS TABS HORT C12,12,30
OSCILLOC 200K C6,12,30
MARCA PAGINAS E LAPIS COM SEMENTE DE COENTRO QUEM SEMEIA AMOR LARANJA - CARTOES GIGANTES,12,49
AMERICANO ESPECIAL INDIANO,12,12
JALAPA RAIZ,12,12
MUTAMBA COM CABO (CRASPEDIA),12,6
COZINHADOR DE GRAOS 4 ESTAGIOS 50 TONS HORA MARCA TECNAL,12,84
KIT 20700 NORI P,12,0
XXXXPROEQUI ORIGINAL 40KG,12,12
ENTRADA DE CANA 060922,12,84
SALT GROSSO MOSTARDA EM GRAOS E ALECRIM GOURMET 500 G,12,12
CAIXA SEMENTE 6Z DUPLA SFIL SOJA,12,12
MICROLOTE POMAR DA SERRA (EDICAO FRUTADO) - EM GRAOS - 1KG,12,9
ENTRADA DE CANA DIA 07 06 2023,12,12
ALFAFA - EXTRATO 60ML,12,13
SALT GROSSO MOSTARDA EM GRAOS E ALECRIM GOURMET 500 G,12,12
INOCULANTE SOJA TURFOSO NITROBACTER TF,12,38
"IPE ROXO 2,00 MTS",12,44
POLACIL 100 FOLHAS,12,48
TOCA NATURAL PORQUINHO DA INDIA GOLDEN P,12,39
TENENTE MADRUGUEIRO OE - 44,12,12
RAS AV SHOES TD JE2244. AMEND,12,64
"AKYNZEO C/1 COMP - VLR ICMS DESON: R$ 15,10 VLR DO PROD SEM O ICMS: R$ 362,34",12,30
OUTROS PRODUTOS DA AGRICULTURA - CANA FORRAGEIRA - OUTRAS PR,12,12
SALSAPARRILHA RAIZ,12,12
ROTULO OREGANO 25G,12,48
PINGENTE PRATA PIMENTA CRUZ OLHO GREGO,12,71
FILODENDRO MICANS,12,6
"LATA GRAOS SEIJI 2,3 L CAS HOME STYLE:VERDE",12,73
1117 - IPê - BALIZADOR QUARTZO,12,94
ENTRADA DE CANA 180921,12,84
CAMOMILA FLOR 1KG,12,12
(9788539422708)50 BRINCADEIRAS VERMELHA (EDI GIRAS),12,49
PCT BRUX MISTO U,12,12
TRANSBORDO CANA VTX21000 TMA,12,87
PAPA RATO GIRASSOL S/CASCA UND **,12,12
ENTRADA DE CANA 040622,12,12
UNHA 416-B/D,12,82
"10 GINSENG $10,00",12,12
S.MIL.2M91PRO3 TC LOTE 20140197 PEN 20RC BOL.ANAL.212 VAL.10/21 PUR. 100.0 GERM. 98 TERMO DE CONF. 212/20/GO CAT.S1,12,12
OUTROS PRODUTOS DA AGRICULTURA - CANA FORRAGEIRA - OUTRAS PR,12,12
FORMULA C/CACTIN 2G,12,21
ACUCAR BRUTO DE CANA VHP (SACO 50KG),12,17
CAIXA DE SEMENTE - 7038102M1-VT,12,84
BOI TF - 315.500,12,1
NITROSPHERA SOJA TURFA COM 600 G 10 DS,12,38
FENO GREGO EXTRATO SECO,12,13
LOGIN /PCT PCT 1KG,12,12
DENTE PREMIUM M A1,12,90
BOX - HENNA DE SOBRANCELHA C/12 PECAS - MAKIAJ - CASTANHO CLARO,12,33
VASO KIT XAXIN PALMEIRA PQ FELTRIN UN,12,69
- ALPHACAINE CV C/50 TUBETE,12,30
"SPIRULINA PO (MIN 60% PROTEINA) - 1,000 KG -LOTE: 2308032602 -FABRIC.:03/05/23 -VALID.:02/05/25",12,12
ENTRADA DE CANA 040922,12,84
ENTRADA DE CANA 300621,12,84
"SUBSTRATO CAROLINA SOIL PADRãO 75H DE 45 LITROS  GERMINAçãO DE SEMENTES, ROSA DO DESERTO, SUCULENTAS, MORANGOS, HORTA",12,27
ENTRADA DE CANA 280522,12,84
EQUIPAMENTO INDUSTRIAL FRIGORIFICO PARA CLIMATIZACAO DE SEMENTES,12,84
"PRODUTOS NAO LISTADOS - ESOALHADOR DE SEMENTES STARA, MODELO",12,84
INOC NITROSPHERA SOJA TURFA CX 20X600G,12,38
TAGETES 2,12,12
COROA DA SEMENTE C/ TITANIUM,12,90
PLACA PARA SEMENTES MULTI COM DUAS FACES COMPLEMENTAR,12,84
"SANSAO - JL, 2023 - MARIA IVONE MOREIRA BRAGA (OLE RENDEIRAS)",12,49
EUCALIPTO HS 1X200,12,44
EXTRATO FLUIDO QUEBRA PEDRA 30ML,12,30
QUEBRA PEDRA 100GR (ERVA SECA PARA CHA),12,12
CALOTRAT PLANTAR 20G,12,30
INOCULANTE NITROSPHERA SOJA LIQ 2X6 LT 100 DS,12,38
KIT KROON KROON 400,12,12
STOPPER ADES APROVEITE O MELHOR D SEMENTES C PRECI,12,49
CAIXA LONGITUDINAL DE SEMENTES,12,73
ADESIVO-PARA-PLACA-B5750E-BREVANT-SEMENTES,12,35
AT580 - IPE ROXO,12,44
IPE ROXO + GRAVIOLA (EXTRATO FLUIDO) - 30ML (REF. 110203978),12,12
BRACELETE SHINE SEMENTES DA VIDA CLEAR ONE SIZE,12,71
"TEMPEROS ATE 130G E ESPECIARIAS NO POTE CONDIMENTOS GRAOS GOURMET DRY RUB, CALDO, PREMIUM NATURAL BICARBONATO DE SODI",12,21
EXTRATOR REMOVEDOR DE SEMENTES CAROCO DE AZEITONAS DESCAROCADOR MANUAL,12,82
TRIBULUS TERRESTRIS PO,12,12
PALHA CRUA 50G,12,12
BARRIL TOMBO DO GORDO - IPA INDIAN PALE 50 LT NAVIRAI,12,22
CALOTRAT PLANTAR 20G,12,30
ENTRADA DE CANA 110822,12,10
CALOTRAT PLANTAR 20G,12,30
DISTRIBUIDOR DE SEMENTES PENDULAR LANCER PPO 900 MARCA: JAN ANO: 2024 SERIE: PPO00298600A00,12,84
EXTRATO COMPOSTO HIPERICO / MULUNGU - 60ML,12,13
MAQUINA INDUSTRIAL DE TRATAMENTO E REVESTIMENTO DE SEMENTES,12,84
MELACOS DE CANA,12,17
CAIXA LONGITUDINAL DE SEMENTES ANO: 2021CHASSI: CLSV111121080645,12,84
2023 PATY PREMIUM ROSA 1 AO 4 - 1,12,12
(10994001) INOCULADOR SEMENTE MS TURBINE GRAN-PED ANEX:16797,12,38
PP HC FOLHAS E FLORES REF. 6906,12,48
PRODUTOS NAO LISTADOS - AMOSTRA DE SOJA - OUTROS,12,12
SACARIA PAPELAO SEMENTE INTEGRACAO 10KG/12KG,12,48
IPE ROXO,12,44
0111 22 ARABICUM GREEN POD X DYNAMO,12,12
"20 LITROS SUBSTRATO CAROLINA SOIL  GERMINAçãO DE SEMENTES, ROSA DO DESERTO-35H COM CASCA DE ARROZ",12,38
PÃO AUSTRALIANO 20G,12,19
500GR HAMSTERS,12,1
ANEIS OVINOS C 100,12,30
OSCILLOC 200K C6,12,30
INOCULANTE RHIZOTROP T 600G (10DS) SOJA,12,38
UNHA FIRST DATE,12,33
58049 FLOR DO CAMPO 5G,12,12
CANA-DE-ACUCAR DO PLANTIO A COLHEITA,12,12
PRODUTOS NAO LISTADOS - PLATAFORMA ADE SEMENTES MODELO SUPER,12,84
ENTRADA DE CANA 160722,12,84
CAIXA SEMENTE PASTAGEM,12,12
INOC. SOJA TURFOSO NITROBACTER TF 200 MELOTE:150102824,12,31
CL.FL. CAROLINA,12,12
AMORA BRANCA CHA,12,12
"SILOTRATO LIOFILIZADO INOCULANTE 100G BASSO,PANCOTTE",12,38
KIT 23701 NORI M,12,12
ZIMBRO BAGAS TERRA RICA 25G,12,12
"BOI SEM COBERTURA - 2,611.000",12,2
CALOTRAT PLANTAR 20G,12,30
UNHA POSTIA A 500PA S K.EMPRESS 20134 ST222278,12,33
OSCILLOC 200K C6,12,30
HIBISCUS FLOR 5MM,12,12
GARDEN CC 20 - 25 - 03844ECC-278D-4D9B-8599-B2A9B8ABE502,12,12
LINHA WR - 1KG - EM GRAOS - FAZENDA MORADA DA PRATA - ARNALDO PINTO,12,12
CAPIM LIMAO,12,12
ALMOFADA SANSAO TURMA DA MONICA - 16X38X12CM,12,63
PONTO SEMENTE PARA AURICULOTERAPIA - CAIXA C/30 - ZHENMED ESPARADRAPO REDONDO  PRETO,12,30
712 EXG - PROMOCAO,12,12
UNHA GOLD SOLUCAO ANTIMICOTICA 30ML,12,30
ENTRADA DE CANA 190321,12,84
C.SEMENTES C/FOLHA X33 (CREME) 75CM (FLORARTE) VOL. 1,12,67
CAIXA LONGITUDINAL DE SEMENTES ANO: 2022CHASSI: CLSV111022071220,12,84
ESS CAPIM LIMAO 100ML RL,12,33
"DENTE DE LEAO FOLHAS 2,5 KG",12,12
IPE ROXO,12,44
1002.1.1 PO FACIALT ANSLUCIDO,12,33
ADESIVO-PARA-PLACA-B5710CE-BREVANT-SEMENTES,12,35
UVAIA  REDONDA COMUM,12,8
MASCAVO ACUCAR SAUDAVEL -PRODUTO A PRONTA ENTREGA ENVIO IMEDIATO C2 ALIMENTOS 500GR,12,17
GUIA DA CANA LE,12,84
ENTRADA DE CANA 300521,12,12
VACA TF - 117.250,12,1
ENTRADA DE CANA DIA 15 06 2024,12,12
FOLHAS BAMBU  X 5 PCT COM 80G VERDE,12,14
CALOTRAT PLANTAR 20G,12,30
"VINORELBINA (EUROFARMA)   L: 914851 Q:       10,0000 F: 07/05/24 V: 01/05/2026 * VALOR TOTAL DOS PRODUTOS SEM ISENCAO DO",12,30
KIT FLOR SECA,12,12
PLACA PONTO COMPLEMENTAR TAMANHO:SEMENTE ESCURA C/ MICROPORE,12,39
CJ CAIXA DIST SEMENTES 4 DENTES MILHO,12,84
ENTRADA DE CANA DIA 09 11 2023,12,12
CAIXA LONGITUDINAL DE SEMENTES ANO: 2023CHASSI: CLSV110823062304,12,84
FORMULA C/OREGANO EXTRATO 100MG;ZEDOARIA EXT.SEC 100MG;ESPINHEIRA SANTA 100MG;COENZIMA Q10 100MG;ZOOMZYME GLU10 250MG;EN,12,30
EMILIANO MARTINEZ (ARGENTINA) - C2,12,49
PRODUTOS NAO LISTADOS - AMOSTRA DE SOJA - OUTROS,12,12
GARRA DE BLOQUEIO NR10 **,12,82
ENTRADA DE CANA 110721,12,12
ENTRADA DE CANA DIA 19 06 2025,12,12
ACTARA CANA SOCA LOTE 0128-22-04120,12,38
CAIXA LONGITUDINAL DE SEMENTES ANO: 2023CHASSI: CLSV111023042097,12,84
GRAFITE EM PO CONCENTRADO SEMENTES 5KG,12,38
SEMENTE DE AÇAI PASSANTE COM 375G A313 - VERDE FOLHA,12,12
CATUABA EM VIGOTA,12,44
CALOTRAT PLANTAR 20G,12,30
INOCULANTE P/SOJA RIZO TURFA4DS200G,12,38
EUCALIPTO COM SEMENTE,12,12
HENNA MAKIAJ MEDIO,12,12
ARTEMISIA KG,12,12
UXI - 26 MADEIRA SERRADA (CAIBRO),12,44
ATRATIVO CAT NIP ERVA PARA GATOS NATURAL SACHES DE 2G CAT NIP CADA,12,12
AGONIADA,12,12
ALCOOL GEL C/ GLICERINA 70%,15,38
GLICERINA 100ML BI DESTILADA,15,15
"REFIL TOP COLOR FAST ESPECIAL OC: PRODUTO DESTINADO P/USO ELETRICO, TRIBUTADO CFE DISPOSITIVO LEGAL=CONVENIO 92/15",15,85
"0860-WNF-OLEO ESSENCIAL CRAVO FOLHA 10ML - LOTE-VALIDADE-QTD:(00153/21-13/01/2024-2) BASE ST: R$ 72,75  VALOR ST: R$ 11,",15,33
OL ESS LIMAO SILICIANO F,15,15
PSE662-DR,15,
CAP. AMERICA - MASCULINA ADULTA - AZUL - G,15,61
OLEO OZONIZADO COPAIBA 50ML,15,15
FLOR DR/CR,15,6
GLICERINA BRANCA 1LT (M) 1X12,15,15
OLEO FLORATA DE GERANIO,15,15
BLEND CLEANER WAX 500 ML,15,34
OLEO DE MOCOTO,15,15
SERV. OLEO,15,15
OLEO FLORATA DE BERGAMOTA,15,15
OLEO DE LINHACA OU MEDIUM ACRILICO (100ML),15,15
SAL DE PARRILLA CANTA GALLO 250G PIMENTA NETAO CANTA GALLO UN,15,25
ITEM 546200 - POTENCIOMENTRO LIN 4K7 (5K),15,85
"0990-WNF-OLEO ESSENCIAL TOMILHO 10ML - LOTE-VALIDADE-QTD:(05070/21-25/10/2024-3) BASE ST: R$ 115,15  VALOR ST: R$ 18,41",15,33
OLEO ESSENCIAL DE MENTA PIPERITA PURO VIA AROMA 10 ML,15,33
FL OLEO PH-2966,15,15
001930 - PEPPER BALL PLUS PIKASSO COM 2 UN PEPPER BLEND,15,93
UNTA-FORMA GL (4X5KG),15,15
OLEO FLORATA DE BERGAMOTA,15,15
OLEO ESSENCIAL DE CRAVO BOTAO - ANVISA - ESCOLHA O TAMANHO DO RECIPIENTE: : 5 ML,15,33
INDUMAX PRESSU GORD LOCA C/2UN - LOTE: 3613 - VAL.: 30/04/2023,15,15
BUSCOVERAN COMPOSTO SOL OR X 10ML,15,30
DESMOLDANTE,15,34
HERBAL PRIME 500 ML,15,30
"MAXICAM COMP BLYSTER 10 X 2,0 MG",15,30
OSCILLOCOCCINUM CX 6FLAC - OL,15,30
MPP DESMOLDANTE KG,15,34
OLEO ESSENCIAL MENTA PIPERITA 10ML VIA AROMA,15,33
PT BECEL ORIG CS 500G 766839_V,15,15
BOVINOS 13 A 24 MESES,15,1
"ESGRILAX 2,27G C/ 6 SUPOSITORIOS ADULTO (GLICERINA) (-) MALAVASI",15,30
OLEO DE MOCOTO,15,15
FORMULA C/RHODIOLA ROSEA 500MG;CAP VEGETAL 00 V 30UN;,15,21
POCAO DA VIRGEM GEL VIRGEM NOVAMENTE 15G POCOES INTT,15,33
GLICERINA 100ML BI DESTILADA,15,15
PAZZE MOEDOR SAL ROSA COM CHIMICHURRI 80GR,15,21
DR,15,
OLEO VEGETAL DE ABACATE JARDIM EXOTICO - PRENSADO FRIO - EXTRA VIRGEM 10 ML,15,15
GLICERINA 1 LITRO RIOQUIMICA UND,15,15
"0960-WNF-OLEO ESSENCIAL MENTA PIPERITA 10ML - LOTE-VALIDADE-QTD:(02676/20-09/07/2023-3), LEI 12741/12 VALOR APROXIMADO D",15,33
DESMOLDANTE BD 18LTS VIAPOL (DESMOL),15,38
OL ESS CANELA PHYTOT 10 ML,15,15
OLEO ESSENCIAL DE CRAVO FOLHAS HERBIA 10ML - LOTE 20 VAL. 09/2023,15,33
"MAXICAM COMP. 10 X 2,0 MG",15,30
OLEO VEGETAL DE ALECRIM 100% PURO NATURAL CABELO E PELE - 100 ML AROOM HEALTH,15,15
MARIA - A NOVA PRIMAVERA,15,49
KIT 45 ITENS EROTICO VOLUMAO SEMPRE VIRGEM GEL REDUTOR CASAL,15,33
OLEO DE NEEM CONCENTRADO NATURAL MARCA VITAPLAN 100 ML,15,15
PET CIRURGIC  FEMEAS N 10,15,62
KULOKO ANESTESICO ANAL + SEMPRE VIRGEM APERTADINHA + GEL VOLUMAO,15,30
OLEO DE MOCOTO 1L,15,15
CURCULIGO UNT JS,15,30
OLEO DE MOCOTO LITRO,15,15
GLICERINA VEGETAL 50ML - L017,15,15
GLICERINA TRANSPARENTE 1KG - NOSSA TERRA,15,15
GORDURA BOVINA NC,15,15
"EQUIPAMENTO PARA A DETERMINACAO IN-LINE DE GORDURA , PESO E DETECCAO DE OSSOS E METAIS EM CARNES CRUAS FRESCAS E CONGELA",15,84
OLEO ESSENCIAL GENGIBRE - FLORA BRASIL - 05 ML,15,33
OLEO DE MOCOTO,15,15
SAL BEIJA FLOR FINO ESPECIAL TEMPERADO 500G,15,25
CB AC 17910 KRE 9000 - ST MX DR 00 - 1,15,15
BANHA MARIA 3/1 20,15,15
CONE HINDU TRADICIONAL 80 UNIDADES,15,33
COZEDOR DE OVOS PARA MICROONDAS,15,39
OLEO MOCOTO,15,15
